Start-Pos.  Length  LId  TId  QId   Packet-Type  Discardable  Truncatable
0x0011fad0   21151    0    0    0     SliceData          No          No
0x00124d6f      10    0    1    0     SliceData         Yes          No
0x00124d79    5187    0    1    0     SliceData         Yes          No
0x001261bc      10    0    2    0     SliceData         Yes          No
0x001261c6    3336    0    2    0     SliceData         Yes          No
0x00126ece      10    0    2    0     SliceData         Yes          No
0x00126ed8    2637    0    2    0     SliceData         Yes          No
0x00127925      10    0    0    0     SliceData          No          No
0x0012792f    9025    0    0    0     SliceData          No          No
0x00129c70      10    0    1    0     SliceData         Yes          No
0x00129c7a    7643    0    1    0     SliceData         Yes          No
0x0012ba55      10    0    2    0     SliceData         Yes          No
0x0012ba5f    3253    0    2    0     SliceData         Yes          No
0x0012c714      10    0    2    0     SliceData         Yes          No
0x0012c71e    2633    0    2    0     SliceData         Yes          No
0x0012d167      10    0    0    0     SliceData          No          No
0x0012d171    8027    0    0    0     SliceData          No          No
0x0012f0cc      10    0    1    0     SliceData         Yes          No
0x0012f0d6    5490    0    1    0     SliceData         Yes          No
0x00130648      10    0    2    0     SliceData         Yes          No
0x00130652    4813    0    2    0     SliceData         Yes          No
0x0013191f      10    0    2    0     SliceData         Yes          No
0x00131929    4099    0    2    0     SliceData         Yes          No
0x0013292c      10    0    0    0     SliceData          No          No
0x00132936    8258    0    0    0     SliceData          No          No
0x00134978      10    0    1    0     SliceData         Yes          No
0x00134982    4595    0    1    0     SliceData         Yes          No
0x00135b75      10    0    2    0     SliceData         Yes          No
0x00135b7f    4226    0    2    0     SliceData         Yes          No
0x00136c01      10    0    2    0     SliceData         Yes          No
0x00136c0b    3753    0    2    0     SliceData         Yes          No
0x00137ab4      10    0    0    0     SliceData          No          No
0x00137abe   10262    0    0    0     SliceData          No          No
0x0013a2d4      10    0    1    0     SliceData         Yes          No
0x0013a2de    6150    0    1    0     SliceData         Yes          No
0x0013bae4      10    0    2    0     SliceData         Yes          No
0x0013baee    3691    0    2    0     SliceData         Yes          No
0x0013c959      10    0    2    0     SliceData         Yes          No
0x0013c963    5004    0    2    0     SliceData         Yes          No
0x0013dcef      10    0    0    0     SliceData          No          No
0x0013dcf9   21553    0    0    0     SliceData          No          No
0x0014312a      10    0    1    0     SliceData         Yes          No
0x00143134    6244    0    1    0     SliceData         Yes          No
0x00144998      10    0    2    0     SliceData         Yes          No
0x001449a2    5218    0    2    0     SliceData         Yes          No
0x00145e04      10    0    2    0     SliceData         Yes          No
0x00145e0e    2912    0    2    0     SliceData         Yes          No
0x0014696e      10    0    0    0     SliceData          No          No
0x00146978   18772    0    0    0     SliceData          No          No
0x0014b2cc      10    0    1    0     SliceData         Yes          No
0x0014b2d6    5886    0    1    0     SliceData         Yes          No
0x0014c9d4      10    0    2    0     SliceData         Yes          No
0x0014c9de    4599    0    2    0     SliceData         Yes          No
0x0014dbd5      10    0    2    0     SliceData         Yes          No
0x0014dbdf    3048    0    2    0     SliceData         Yes          No
0x0014e7c7      10    0    0    0     SliceData          No          No
0x0014e7d1    9286    0    0    0     SliceData          No          No
0x00150c17      10    0    1    0     SliceData         Yes          No
0x00150c21    6839    0    1    0     SliceData         Yes          No
0x001526d8      10    0    2    0     SliceData         Yes          No
0x001526e2    4121    0    2    0     SliceData         Yes          No
0x001536fb      10    0    2    0     SliceData         Yes          No
0x00153705    2958    0    2    0     SliceData         Yes          No
0x00154293      10    0    0    0     SliceData          No          No
0x0015429d    6480    0    0    0     SliceData          No          No
0x00155bed      10    0    1    0     SliceData         Yes          No
0x00155bf7    6929    0    1    0     SliceData         Yes          No
0x00157708      10    0    2    0     SliceData         Yes          No
0x00157712    3638    0    2    0     SliceData         Yes          No
0x00158548      10    0    2    0     SliceData         Yes          No
0x00158552    2931    0    2    0     SliceData         Yes          No
0x001590c5      10    0    0    0     SliceData          No          No
0x001590cf   10424    0    0    0     SliceData          No          No
0x0015b987      10    0    1    0     SliceData         Yes          No
0x0015b991    3399    0    1    0     SliceData         Yes          No
0x0015c6d8      10    0    2    0     SliceData         Yes          No
0x0015c6e2    1983    0    2    0     SliceData         Yes          No
0x0015cea1      10    0    2    0     SliceData         Yes          No
0x0015ceab    2116    0    2    0     SliceData         Yes          No
0x0015d6ef      10    0    0    0     SliceData          No          No
0x0015d6f9   12946    0    0    0     SliceData          No          No
0x0016098b      10    0    1    0     SliceData         Yes          No
0x00160995    4453    0    1    0     SliceData         Yes          No
0x00161afa      10    0    2    0     SliceData         Yes          No
0x00161b04    2198    0    2    0     SliceData         Yes          No
0x0016239a      10    0    2    0     SliceData         Yes          No
0x001623a4    3178    0    2    0     SliceData         Yes          No
0x0016300e      10    0    0    0     SliceData          No          No
0x00163018   14406    0    0    0     SliceData          No          No
0x0016685e      10    0    1    0     SliceData         Yes          No
0x00166868    6860    0    1    0     SliceData         Yes          No
0x00168334      10    0    2    0     SliceData         Yes          No
0x0016833e    4907    0    2    0     SliceData         Yes          No
0x00169669      10    0    2    0     SliceData         Yes          No
0x00169673    3645    0    2    0     SliceData         Yes          No
0x0016a4b0      10    0    0    0     SliceData          No          No
0x0016a4ba   15080    0    0    0     SliceData          No          No
0x0016dfa2      10    0    1    0     SliceData         Yes          No
0x0016dfac    5716    0    1    0     SliceData         Yes          No
0x0016f600      10    0    2    0     SliceData         Yes          No
0x0016f60a    3456    0    2    0     SliceData         Yes          No
0x0017038a      10    0    2    0     SliceData         Yes          No
0x00170394    3253    0    2    0     SliceData         Yes          No
0x00171049      10    0    0    0     SliceData          No          No
0x00171053   13698    0    0    0     SliceData          No          No
0x001745d5      10    0    1    0     SliceData         Yes          No
0x001745df    4698    0    1    0     SliceData         Yes          No
0x00175839      10    0    2    0     SliceData         Yes          No
0x00175843    3888    0    2    0     SliceData         Yes          No
0x00176773      10    0    2    0     SliceData         Yes          No
0x0017677d    2512    0    2    0     SliceData         Yes          No
0x0017714d      10    0    0    0     SliceData          No          No
0x00177157   23200    0    0    0     SliceData          No          No
0x0017cbf7      10    0    1    0     SliceData         Yes          No
0x0017cc01    6371    0    1    0     SliceData         Yes          No
0x0017e4e4      10    0    2    0     SliceData         Yes          No
0x0017e4ee    3862    0    2    0     SliceData         Yes          No
0x0017f404      10    0    2    0     SliceData         Yes          No
0x0017f40e    2847    0    2    0     SliceData         Yes          No
0x0017ff2d      10    0    0    0     SliceData          No          No
0x0017ff37   13445    0    0    0     SliceData          No          No
0x001833bc      10    0    1    0     SliceData         Yes          No
0x001833c6    5394    0    1    0     SliceData         Yes          No
0x001848d8      10    0    2    0     SliceData         Yes          No
0x001848e2    3669    0    2    0     SliceData         Yes          No
0x00185737      10    0    2    0     SliceData         Yes          No
0x00185741    2822    0    2    0     SliceData         Yes          No
0x00186247      10    0    0    0     SliceData          No          No
0x00186251   17518    0    0    0     SliceData          No          No
0x0018a6bf      10    0    1    0     SliceData         Yes          No
